country,iso3,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,early,2001,2002,2003,2004,midEarly,2006,2007,2008,2009,mid,2011,2012,2013,2014,midlater,2016,2017,earlyLate,Smoking Population,2020,2021,2022,2023
Slovak Republic,SVK,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,31.7,,,,,31.6,,,,,31.5,,,31.5,31.5,31.5,,,
Slovenia,SVN,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.1,,,,,24.2,,,,,23.5,,,,,22.7,,,22.3,22.3,22,,,
Sweden,SWE,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.8,,,,,37.6,,,,,32.3,,,,,27.9,,,24.8,24.8,24,,,
Eswatini,SWZ,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.3,,,,,11.4,,,,,10.5,,,,,9.8,,,9.3,9.3,9.2,,,
Sint Maarten (Dutch part),SXM,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,SYC,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,,,,,26.2,,,,,24,,,,,22.1,,,20.6,20.6,20.2,,,
Syrian Arab Republic,SYR,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turks and Caicos Islands,TCA,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,TCD,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.9,,,,,12.2,,,,,10.7,,,,,9.4,,,8.5,8.5,8.3,,,
East Asia & Pacific (IDA & IBRD countries),TEA,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.52007984,,,,,28.96859795,,,,,28.27939267,,,,,27.70553253,,,27.31172589,27.31983859,27.21941233,,,
Europe & Central Asia (IDA & IBRD countries),TEC,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.65050478,,,,,32.29585914,,,,,30.27677671,,,,,28.45054479,,,27.15263718,27.14572266,26.79236907,,,
Togo,TGO,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4,,,,,11.9,,,,,9.8,,,,,8.2,,,7.1,7.1,6.8,,,
Thailand,THA,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.7,,,,,28.8,,,,,26.3,,,,,24.1,,,22.5,22.5,22.1,,,
Tajikistan,TJK,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkmenistan,TKM,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,9.9,,,,,8.2,,,,,6.7,,,5.8,5.8,5.5,,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.72991911,,,,,21.10713035,,,,,18.02960041,,,,,15.48839392,,,13.75255766,13.74679077,13.36417192,,,
Timor-Leste,TLS,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.5,,,,,49.5,,,,,46,,,,,42.5,,,39.8,39.8,39.2,,,
Middle East & North Africa (IDA & IBRD countries),TMN,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.88618784,,,,,22.46723099,,,,,21.4731706,,,,,20.68087073,,,20.06159449,20.06095338,19.83982787,,,
Tonga,TON,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.5,,,,,32.8,,,,,32.1,,,,,31.6,,,31.1,31.1,31,,,
South Asia (IDA & IBRD),TSA,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.67542544,,,,,44.24476544,,,,,37.27747014,,,,,31.74202348,,,27.88694632,27.88545253,27.06105061,,,
Sub-Saharan Africa (IDA & IBRD countries),TSS,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.59932874,,,,,14.97018591,,,,,12.82578666,,,,,11.07860032,,,9.876517469,9.863435833,9.57822928,,,
Trinidad and Tobago,TTO,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,TUN,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.3,,,,,31.6,,,,,29,,,,,26.6,,,25,25,24.6,,,
Turkiye,TUR,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.9,,,,,32.2,,,,,31.7,,,,,31.1,,,30.9,30.9,30.7,,,
Tuvalu,TUV,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.8,,,,,45.3,,,,,41.8,,,,,38.4,,,36,36,35.6,,,
Tanzania,TZA,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.8,,,,,20.7,,,,,15.5,,,,,11.6,,,9.2,9.2,8.7,,,
Uganda,UGA,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.7,,,,,18.8,,,,,14.3,,,,,10.9,,,8.9,8.9,8.4,,,
Ukraine,UKR,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7,,,,,34.3,,,,,31.1,,,,,28.4,,,26.2,26.2,25.8,,,
Upper middle income,UMC,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.06238533,,,,,26.99320031,,,,,25.93127274,,,,,25.00933093,,,24.39131853,24.37437429,24.22009971,,,
Uruguay,URY,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.3,,,,,31.2,,,,,27.5,,,,,24.3,,,22,22,21.5,,,
United States,USA,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.8,,,,,30.6,,,,,28,,,,,25.3,,,23.4,23.4,23,,,
Uzbekistan,UZB,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.9,,,,,22.7,,,,,20.9,,,,,19.1,,,17.8,17.8,17.6,,,
St. Vincent and the Grenadines,VCT,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Venezuela, RB",VEN,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Virgin Islands,VGB,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgin Islands (U.S.),VIR,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viet Nam,VNM,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.8,,,,,28.3,,,,,27,,,,,26,,,25,25,24.8,,,
Vanuatu,VUT,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.6,,,,,23.3,,,,,21.3,,,,,19.4,,,18.2,18.2,17.8,,,
World,WLD,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.15148903,,,,,30.74874263,,,,,27.76702606,,,,,25.22260355,,,23.42673697,23.3963979,22.97762039,,,
Samoa,WSM,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,35,,,,,31.4,,,,,28.1,,,25.9,25.9,25.3,,,
Kosovo,XKX,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yemen, Rep.",YEM,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.3,,,,,25.3,,,,,23.4,,,,,21.8,,,20.5,20.5,20.3,,,
South Africa,ZAF,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.5,,,,,22.5,,,,,21.6,,,,,21,,,20.4,20.4,20.3,,,
Zambia,ZMB,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.9,,,,,18.1,,,,,16.7,,,,,15.5,,,14.6,14.6,14.4,,,
Zimbabwe,ZWE,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,18.1,,,,,15.6,,,,,13.6,,,12.1,12.1,11.7,,,
